subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
121,185162,0.3333,68,73,19,-44,18,-36
121,185163,0.3333,69,73,19,-46,18,-36
121,204957,0.3333,25,73,21,42,18,-32
121,205048,0.3333,25,74,21,42,20,-32
121,205139,0.3333,25,75,21,42,22,-32
121,214967,0.3333,25,74,22,42,20,-30
121,215056,0.3333,23,75,22,46,22,-30
121,215057,0.6667,24,75,22,44,22,-30
121,215058,0.6667,25,75,22,42,22,-30
121,223973,0.3333,22,64,23,48,0,-28
121,224883,0.6667,22,74,23,48,20,-28
121,224884,0.3333,23,74,23,46,20,-28
121,224885,0.3333,24,74,23,44,20,-28
121,224886,0.3333,25,74,23,42,20,-28
121,224975,1.0000,23,75,23,46,22,-28
121,224976,0.6667,24,75,23,44,22,-28
121,224977,0.6667,25,75,23,42,22,-28
121,225021,0.3333,69,75,23,-46,22,-28
121,233800,0.3333,21,63,24,50,-2,-26
121,233801,0.3333,22,63,24,48,-2,-26
121,233891,0.3333,21,64,24,50,0,-26
121,233892,0.3333,22,64,24,48,0,-26
121,233982,0.3333,21,65,24,50,2,-26
121,234710,0.6667,21,73,24,50,18,-26
121,234711,0.3333,22,73,24,48,18,-26
121,234712,0.3333,23,73,24,46,18,-26
121,234802,1.0000,22,74,24,48,20,-26
121,234803,0.6667,23,74,24,46,20,-26
121,234804,0.3333,24,74,24,44,20,-26
121,234894,1.0000,23,75,24,46,22,-26
121,234895,0.6667,24,75,24,44,22,-26
121,234940,0.3333,69,75,24,-46,22,-26
121,243719,0.3333,21,63,25,50,-2,-24
121,243720,0.6667,22,63,25,48,-2,-24
121,243809,0.3333,20,64,25,52,0,-24
121,243810,0.6667,21,64,25,50,0,-24
121,243811,0.6667,22,64,25,48,0,-24
121,243900,0.3333,20,65,25,52,2,-24
121,243901,0.3333,21,65,25,50,2,-24
121,244537,0.3333,20,72,25,52,16,-24
121,244538,0.3333,21,72,25,50,16,-24
121,244539,0.3333,22,72,25,48,16,-24
121,244629,1.0000,21,73,25,50,18,-24
121,244630,1.0000,22,73,25,48,18,-24
121,244631,0.3333,23,73,25,46,18,-24
121,244721,1.0000,22,74,25,48,20,-24
121,244722,1.0000,23,74,25,46,20,-24
121,244723,0.3333,24,74,25,44,20,-24
121,244813,1.0000,23,75,25,46,22,-24
121,244814,0.3333,24,75,25,44,22,-24
121,253510,0.3333,75,61,26,-58,-6,-22
121,253547,0.3333,21,62,26,50,-4,-22
121,253637,0.3333,20,63,26,52,-2,-22
121,253638,0.3333,21,63,26,50,-2,-22
121,253639,0.3333,22,63,26,48,-2,-22
121,253727,0.3333,19,64,26,54,0,-22
121,253728,0.6667,20,64,26,52,0,-22
121,253729,0.6667,21,64,26,50,0,-22
121,253819,0.6667,20,65,26,52,2,-22
121,253999,0.3333,18,67,26,56,6,-22
121,254000,0.3333,19,67,26,54,6,-22
121,254001,0.3333,20,67,26,52,6,-22
121,254091,0.3333,19,68,26,54,8,-22
121,254366,0.3333,21,71,26,50,14,-22
121,254456,0.6667,20,72,26,52,16,-22
121,254457,0.6667,21,72,26,50,16,-22
121,254458,0.3333,22,72,26,48,16,-22
121,254459,0.3333,23,72,26,46,16,-22
121,254508,0.3333,72,72,26,-52,16,-22
121,254548,1.0000,21,73,26,50,18,-22
121,254549,1.0000,22,73,26,48,18,-22
121,254550,0.6667,23,73,26,46,18,-22
121,254640,1.0000,22,74,26,48,20,-22
121,254641,1.0000,23,74,26,46,20,-22
121,263282,0.3333,19,60,27,54,-8,-20
121,263337,0.3333,74,60,27,-56,-8,-20
121,263338,0.6667,75,60,27,-58,-8,-20
121,263339,0.6667,76,60,27,-60,-8,-20
121,263373,0.3333,19,61,27,54,-6,-20
121,263428,0.6667,74,61,27,-56,-6,-20
121,263429,1.0000,75,61,27,-58,-6,-20
121,263430,1.0000,76,61,27,-60,-6,-20
121,263463,1.0000,18,62,27,56,-4,-20
121,263464,0.3333,19,62,27,54,-4,-20
121,263465,0.3333,20,62,27,52,-4,-20
121,263519,0.6667,74,62,27,-56,-4,-20
121,263520,1.0000,75,62,27,-58,-4,-20
121,263521,1.0000,76,62,27,-60,-4,-20
121,263552,0.3333,16,63,27,60,-2,-20
121,263555,1.0000,19,63,27,54,-2,-20
121,263556,0.3333,20,63,27,52,-2,-20
121,263557,0.3333,21,63,27,50,-2,-20
121,263646,0.6667,19,64,27,54,0,-20
121,263647,0.6667,20,64,27,52,0,-20
121,263648,0.3333,21,64,27,50,0,-20
121,263737,0.3333,19,65,27,54,2,-20
121,263738,0.3333,20,65,27,52,2,-20
121,263827,0.3333,18,66,27,56,4,-20
